clase;medio;texto_limpio
Agressions sexuals i Abusos sexuals;La Vanguardia;desarticulada banda asaltaba plantaciones marihuana haciendose pasar policias operativos policiales plantaciones ilegales marihuana habituales catalunya ultimos anos delitos vinculados trafico sustancia aumentado notablemente llevado exigir medidas oportunas lespermitan combatir eficacia fenomeno creciente habitual resulta vuelta tuerca grupos criminales emulen operativos policiales asaltar plantaciones cabo robos forma sistematica precisamente operaba banda demarcacion tarragona hacian pasar policias exhibiendo armas fuego largas cortas indumentaria policial accedian fuerza plantacion llevaban botin operativo policial conjunto nacional logro martes desarticular organizacion criminal vincula robos violentos ocurridos ano
Terrorisme;La Vanguardia;investigado terrorismo yihadista hombre ataco hacha mcdonald magic badalona ataque cometido restaurante mcdonald centro comercial magic badalona investiga acto terrorismo yihadista comunicado tribunal superior justicia catalunya comunicado hombre detenido miercoles semana acusado emprendido ataque hacha establecimiento comida rapida individuo golpeo fuertemente mobiliario herir fuentes proximas caso hombre habria atacado restaurante cadena norteamericana represalia ataques israel gaza objetivo actuar intereses americanos senalan fuentes individuo reconocio visto imagenes guerra despertaron reaccion indicio juez instruccion badalona decidido inhibirse favor audiencia nacional tribunal competente apreciar indicios delitos terrorismo yihadista juez tribunal encargar informe analizar psicologico arrestado radicalizado consciente
Terrorisme;Ara;assaltant mcdonald badalona voler venjar veure imatges gaza barcelonal home dimecres passat atacar destral mcdonald sdel centre comercial magic badalona ingressat preso provisional despres fos detingut lloc fets jutjats badalona enviat causa audiencia nacional investiga cas terrorisme jihadista inici descartar motivacio terrorista finalment hipotesi agafat forca segons fonts consultades home origen pakistanes dir despres assalt vist imatges televisio guerra gaza volgut venjar estats units atacant mcdonald famosa cadena nord americana menjar rapid afirmacio motiva home sigui investigat delicte terrorisme jihadista detingut trencar destral vidres mobiliari local cap dimecres passat ferir cap persona mosso servei vigilant centre comercial reduir arran incident desallotjar centre comercial activar hora protocol seguretat cap tornar normalitat segons fonts consultades detingut tenia antecedents delictes similars feia arribat catalunya mesos
Falsedats documentals;La Vanguardia;retenidos cruceristas barcelona visados falsos grupo bolivianos contingente cruceristas pasajeros delmsc armoniase retenido puerto barcelona zarpar problemas visado pasajeros origen boliviano detectado grupo incluyen familias ninos embarco brasil debia desembarcar barcelona destino viaje transoceanico denego entrada detectar disponian visado valido entrar territorio schengen viajaban visados falsos barco debia iniciar martes ruta mediterraneo pasajeros temporada invierno sudamerica planes bloqueados resuelva conflicto delegacion gobierno catalunya nacional encuentran contacto autoridades bolivianas compania msc cruceros agilizar tramites administrativos oportunos resolver situacion brevedad reza comunicado emitido medios comunicacion
Assassinat Consumat;La Vanguardia;juez envia prision acusado asesinar expareja amposta descuartizar cadaver juzgado instruccion amposta competente materia violencia mujer acordado ingreso prision provisional comunicada fianza hombre detenido lunes pascua acusado asesinato expareja piso localidad tahis tenia anos causa abierta delito homicidio informado tribunal superior justicia catalunya tsjc magistrado enviado carcel presunto homicida unicamente respondiese preguntas abogado tsjc confirmado cometerse crimen machista victima tenia vigor orden alejamiento detenido detallado antecedentes malos tratos tenia detenido pasara noche carcel
Lesions;Ara;ferit greu tiroteig plena llum barcelona barcelonaels testimonis dir precisio quants trets sentit parlen cinc vuit resultat jardinet barri verdum barcelona ple casquets fragments bala recorregut diferents cons grocs col locat costat prova permetia resseguir gairebe perfeccio direccio trets adhesiu blanc porta indicava alla impactat bala desena casquets repartits herba escenari tiroteig plena llum posat alerta carrer gongora districte nou barris tambe escola poquissims metres sentit detonacions hora dinar investiguen darrere bales deixat home ferit gravetat victima tenia orifici bala espatlla desplacat caminant centre sanitari proxim rebre atencio sanitaria alla traslladat hospital moment clar tingut mala sort passar alla implicat tiroteig bala tambe impactat part darrere taxi moment passava vidre bar testimonis parlen dues persones perseguien obert foc armes curtes mig carrer despres marxat corrents fet cap detingut
Acusació, denúncia falsa i simulació de delictes;Ara;cau xarxa feia presentar denuncies falses violencia masclista dones prostituides barcelonaper canto convencien dones prostituides perque fessin passar victimes violencia genere pactaven homes problemes economics drogoaddiccio fossin cap turc acceptessin consequencies denuncies falses presentaven dones plegat aconseguir permisos residencia ajudes economiques segons avancat diariel segrei confirmat dijous tarda catalana detingut lleida responsables entramat onze dones haurien presentat denuncies falses violencia masclista organitzadors dona home anys veins lleida dona anys oferia dones prostituides huelva participacio engany liders trama pendents passar disposicio judicial proximes hores onze dones acusades interposar denuncies falses quedat llibertat carrecs
Homicidi Consumat;Ara;cops aixada pala historial agressions assassi riera cambrils barcelonagheorghe joita detingut febrer saragossa presumpte assassi vei concunyat ion valentin fets passartres dies cami rural cambrils vinyols arcs camp joita atropellar home estes terra comencar pegar puntades peu cap serveis emergencia arribar valentin viu apuntar joita responsable atac agressor fugit concunyat morir cap minuts aixo passar joita esperava judici agressions anteriors veins havien denunciat insistentment jutjats mort valentin hauria pogut evitar avisos haguessin pres mes seriosament justicia hagues anat mes pressa aixo pregunten veins crim cambrils derivava disputa terrenys unics problemes motiu tenia romanes anys veins joita pendent judici reus delictes lesions delicte lleu lesions abril families viu costat ell prop riera alforja celebrant aniversari home anys demanat mantenir anonimat represalies passejant finca joita agredir dirigir cap paraula pegar cop puny diverses puntades peu escapar membres familia recriminar fets agressor pegar aixada dona anys trau part posterior cap agressio cas pala home anys cop impactar cara provocar fractura nasal perdes consciencia estona resta familiars evitar cosa anes mes requisar aixada pala arribar punt matar rememora
Tràfic d'éssers humans;Ara;segrestos transports inhumans barcelona pakistanesos traficaven compatriotes barcelonasense menjar aigua tenien seients cinturons cap finestra passaven gairebe hores amuntegats maleter furgoneta promesa trobar nova millor vida catalunya furgoneta antiga ronyosa viatjaven desena persones podien asseguts mai podien sortir paraven posar gasolina havien orinar feien ampolles plastic homes provinents india pakistan havien pagat euros viatge inhuma responsables transport compatriotes havien convencut abandonar regions cap barcelona nacional enxampat detingut set persones alliberat disset victimes xarxa trafic essers humans banda tenia captadors diverses regions pakistan oferien viatge espanya ruta llarga investigadors segons fonts consultades nomes pogut concretar part entraven europa turquia despres desplacaven franca italia alla esperaven furgonetes xarxa criminal comencava viatge minim dues destinacions barcelona portugal xarxa gairebe mai repetia ruta controlava
Contra els animals;La Razón;centro yoga contrabando cachorros perro barcelona puppy yoga ultimas tendencias virales redes sociales practicar yoga posibilidad jugar perros esten venta practica fraudulenta centro barcelona tenia privado colaboracion establecimiento venta animales facilitaba cachorros utilizaban actividades comerciales ilegales forma irregular local avenida meridiana llamado kitten puppy yoga barcelona abrio diciembre presumiendo puppy yoga barcelona estudio aseguraba trabajaba asociaciones granjas familiares encargan cachorros meta fomentar adopcion detenidos lunes robaban disfrazados mujer joyeria barcelona
